,year,make,model,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice,income,using_time,region
384142,2014,toyota,Camry,sedan,automatic,nc,4.0,10810.0,—,black,16800,16900,61490,1,southeast
122956,2012,ford,Fusion,sedan,automatic,pa,4.9,44416.0,white,gray,12450,13900,73100,3,northeast
411573,2011,nissan,Murano,suv,automatic,il,4.2,33300.0,silver,gray,20000,20500,73130,4,midwest
25531,2014,volkswagen,GTI,hatchback,automatic,ca,3.9,12698.0,—,black,19250,20250,77030,1,pacific
87312,2010,chevrolet,Cobalt,sedan,automatic,tx,1.0,84517.0,black,black,5425,1100,68360,5,southwest
307072,2012,infiniti,M,sedan,automatic,oh,4.4,73286.0,black,black,20500,20200,64520,3,midwest
295421,2014,ford,Expedition,suv,automatic,nv,3.5,37248.0,black,beige,32000,32250,62960,1,mountain west
401257,2011,bmw,5 Series,sedan,automatic,il,1.9,36150.0,black,tan,28500,24400,73130,4,midwest
200049,2006,toyota,RAV4,suv,automatic,fl,2.3,192949.0,silver,black,5300,6200,59100,9,southeast
212830,2012,lexus,ES 350,sedan,automatic,fl,2.0,26780.0,black,black,22400,19800,59100,3,southeast
305655,2007,honda,CR-V,suv,automatic,oh,3.8,76030.0,white,gray,8775,9900,64520,8,midwest
212381,2013,nissan,Rogue,suv,automatic,fl,4.4,24500.0,red,black,14700,14400,59100,2,southeast
308721,2012,suzuki,Grand Vitara,suv,automatic,oh,5.0,31970.0,gray,black,8825,11800,64520,3,midwest
420144,2012,nissan,Altima,coupe,automatic,il,3.8,26495.0,white,tan,13600,15000,73130,3,midwest
426329,2007,jeep,Grand Cherokee,suv,automatic,co,2.9,76995.0,burgundy,gray,9325,11500,80610,8,mountain west
154517,2006,jeep,Grand Cherokee,suv,automatic,wi,2.9,119641.0,black,gray,6100,5400,67090,9,midwest
271428,2014,fiat,500,hatchback,automatic,nj,4.5,1005.0,—,black,11450,10800,82750,1,northeast
107612,2004,lexus,ES 330,sedan,automatic,tx,3.1,104994.0,silver,tan,6100,7000,68360,11,southwest
312378,2012,toyota,Camry,sedan,automatic,oh,4.1,25914.0,red,black,15200,15700,64520,3,midwest
424931,2014,kia,Rio,sedan,automatic,co,4.5,11893.0,silver,black,11400,11500,80610,1,mountain west
91261,2007,lincoln,Mark LT,cab,automatic,tx,4.3,83362.0,silver,gray,13900,13600,68360,8,southwest
242296,2014,kia,Forte,sedan,automatic,fl,3.8,35527.0,blue,gray,10700,10500,59100,1,southeast
5900,2006,hummer,H3,suv,automatic,ca,3.7,98247.0,gray,black,10650,11100,77030,8,pacific
235704,2012,infiniti,G Sedan,sedan,automatic,fl,3.9,20660.0,silver,black,18650,18200,59100,3,southeast
438354,2013,dodge,Grand Caravan,van,automatic,mo,4.0,59758.0,gray,black,12250,12300,71660,2,midwest
321632,2009,pontiac,Torrent,suv,automatic,mi,3.5,75623.0,black,black,7800,7800,65610,6,midwest
333377,2010,ford,F-150,cab,automatic,mi,3.7,82047.0,blue,black,19900,22400,65610,5,midwest
200368,2014,ford,Mustang,convertible,automatic,fl,4.2,11664.0,—,black,21800,21900,59100,1,southeast
322775,1999,pontiac,Firebird,hatchback,automatic,mi,2.9,130759.0,blue,gray,3950,3100,65610,16,midwest
62113,2013,chevrolet,Sonic,hatchback,automatic,ca,3.6,52145.0,silver,black,7925,7500,77030,2,pacific
425251,2007,nissan,Pathfinder,suv,automatic,co,3.4,108449.0,black,beige,7925,9800,80610,8,mountain west
221178,2014,chevrolet,Express Cargo,van,automatic,fl,3.7,37663.0,white,gray,20400,20600,59100,1,southeast
158247,2014,kia,Soul,wagon,automatic,tn,3.7,40774.0,black,black,13250,12800,57290,1,southeast
37320,2003,cadillac,CTS,sedan,automatic,ca,2.6,141920.0,black,black,2525,3600,77030,12,pacific
327138,2012,ford,Taurus,sedan,automatic,mi,4.6,33791.0,red,black,20800,21700,65610,3,midwest
266525,2005,mercedes-benz,E-Class,sedan,automatic,nj,3.5,152267.0,green,black,3100,4900,82750,9,northeast
53238,2012,bmw,5 Series,sedan,automatic,ca,4.3,35951.0,white,black,26400,27525,77030,3,pacific
137871,2012,ford,Fusion,sedan,automatic,mn,3.7,35651.0,black,black,13050,13500,83200,3,midwest
307723,2004,chevrolet,Silverado 1500,cab,automatic,oh,4.2,50296.0,green,gray,6675,7800,64520,11,midwest
368697,2002,hyundai,Santa Fe,suv,automatic,va,2.1,184685.0,white,gray,875,900,74430,13,southeast
242829,2011,toyota,4Runner,suv,automatic,fl,3.6,77005.0,gray,black,29200,28800,59100,4,southeast
125049,2005,jeep,Grand Cherokee,suv,automatic,pa,2.2,134594.0,white,gray,5800,5200,73100,10,northeast
373052,2013,chevrolet,Spark,hatchback,automatic,va,4.3,39355.0,blue,black,8475,8800,74430,2,southeast
182835,2001,chrysler,Town and Country,van,automatic,md,2.6,150663.0,silver,blue,1375,1800,89090,14,northeast
157871,2013,ford,Fusion,sedan,automatic,tn,2.7,9701.0,white,tan,15250,11500,57290,1,southeast
381416,2006,cadillac,DTS,sedan,automatic,nc,1.9,98690.0,silver,black,5600,6500,61490,9,southeast
210494,1999,saturn,S-Series,sedan,automatic,fl,2.1,120027.0,gray,gray,775,500,59100,16,southeast
342603,2012,dodge,Avenger,sedan,automatic,ga,4.3,29385.0,white,red,11400,11900,61450,3,southeast
42610,2013,toyota,Corolla,sedan,automatic,ca,3.4,48926.0,gold,gray,11050,13000,77030,2,pacific
69179,2007,dodge,Caliber,wagon,automatic,tx,1.9,120094.0,orange,gray,3200,2900,68360,7,southwest
394088,2014,chrysler,300,sedan,automatic,nc,4.1,21210.0,silver,black,19650,19650,61490,1,southeast
234366,2014,chevrolet,Cruze,sedan,automatic,fl,3.0,23565.0,red,black,14600,14400,59100,1,southeast
138651,2014,toyota,RAV4,suv,automatic,mn,4.1,34871.0,black,black,19850,19700,83200,1,midwest
209995,2012,toyota,Camry,sedan,automatic,fl,2.0,40571.0,blue,gray,12800,11800,59100,3,southeast
59643,2013,dodge,Grand Caravan,van,automatic,ca,3.8,63431.0,gray,black,11200,11250,77030,2,pacific
454714,2005,ford,Five Hundred,sedan,automatic,ma,2.7,40716.0,blue,gray,4175,4700,82150,10,northeast
430065,2011,ford,F-250 Super Duty,cab,automatic,ut,3.7,49246.0,black,gray,23200,21000,80200,4,mountain west
55011,2006,honda,Civic,sedan,automatic,ca,1.9,132184.0,blue,beige,5350,5600,77030,9,pacific
248784,2012,audi,Q5,suv,automatic,fl,4.0,35538.0,white,black,28000,26800,59100,3,southeast
288434,2014,ford,E-Series Wagon,van,automatic,nv,3.5,19233.0,white,gray,19650,18000,62960,0,mountain west
373813,2012,nissan,Altima,sedan,automatic,va,2.7,62262.0,white,tan,9850,9300,74430,3,southeast
306091,2012,hyundai,Veloster,hatchback,automatic,oh,3.7,28978.0,white,gray,12950,12700,64520,3,midwest
28308,2006,ford,Focus,sedan,automatic,ca,2.0,126497.0,black,—,2325,700,77030,9,pacific
160726,2013,nissan,Sentra,sedan,automatic,tn,1.9,17905.0,black,gray,11950,10800,57290,2,southeast
215092,2013,infiniti,G Sedan,sedan,automatic,fl,3.5,25199.0,gray,black,21500,21600,59100,2,southeast
371056,2004,bmw,X3,suv,automatic,va,3.7,59064.0,silver,black,7400,8000,74430,11,southeast
469650,2005,ford,F-150,cab,automatic,ms,2.1,151898.0,white,black,6825,10200,48460,10,southeast
330242,2011,ford,F-150,cab,automatic,mi,3.9,52513.0,black,gray,23500,21000,65610,4,midwest
350978,2005,infiniti,G35,coupe,automatic,ga,2.9,141807.0,white,beige,5750,6200,61450,10,southeast
351305,2010,honda,Ridgeline,cab,automatic,ga,3.7,46584.0,gray,gray,21100,21400,61450,5,southeast
455598,2007,chevrolet,Silverado 2500HD,cab,automatic,ma,3.2,108071.0,blue,black,10250,11000,82150,8,northeast
263631,2012,ford,Focus,sedan,automatic,ne,3.2,32766.0,silver,tan,10050,9800,73200,3,midwest
440420,2009,lexus,IS 250,sedan,automatic,mo,3.0,63197.0,gray,gray,16200,12500,71660,6,midwest
379005,2006,cadillac,STS,sedan,automatic,nc,2.6,113296.0,blue,tan,5850,6000,61490,8,southeast
359723,2011,hyundai,Sonata,sedan,automatic,ga,3.8,108581.0,white,black,8975,10100,61450,4,southeast
158776,2012,chevrolet,Impala,sedan,automatic,tn,3.9,65186.0,silver,gray,9000,10500,57290,2,southeast
149709,2002,chevrolet,Cavalier,sedan,automatic,wi,1.0,181467.0,silver,gray,325,325,67090,13,midwest
15984,2013,kia,Rio,sedan,automatic,ca,5.0,585.0,red,black,13550,13600,77030,2,pacific
450982,2011,ford,Transit Connect,van,automatic,ma,3.5,124792.0,white,gray,7275,6100,82150,4,northeast
188591,2012,mercedes-benz,C-Class,sedan,automatic,fl,3.5,32846.0,white,beige,21700,22000,59100,2,southeast
367873,2007,kia,Sorento,suv,automatic,va,1.9,77634.0,gold,tan,5725,5900,74430,8,southeast
285457,2013,mercedes-benz,C-Class,sedan,automatic,nj,3.9,33082.0,black,black,23200,22500,82750,2,northeast
193916,2011,nissan,Rogue,suv,automatic,fl,3.9,32460.0,red,gray,13950,16600,59100,4,southeast
342915,2012,mercedes-benz,M-Class,suv,automatic,ga,2.8,40745.0,—,off-white,33500,31500,61450,3,southeast
404187,2013,ford,Fusion,sedan,automatic,il,2.9,18475.0,silver,black,14750,12400,73130,2,midwest
232240,2013,nissan,Sentra,sedan,automatic,fl,4.5,9873.0,gray,black,13450,13600,59100,2,southeast
210822,2013,honda,Accord,coupe,automatic,fl,4.6,10264.0,blue,black,21500,20400,59100,2,southeast
341825,2014,ford,Fusion,sedan,automatic,ga,4.1,43497.0,black,black,14750,14600,61450,1,southeast
72575,1995,chevrolet,Blazer,suv,automatic,tx,1.0,294467.0,red,beige,275,400,68360,20,southwest
386698,2010,buick,Enclave,suv,automatic,nc,4.8,86562.0,black,gray,16050,15500,61490,5,southeast
405212,2007,bmw,6 Series,convertible,manual,il,3.4,44680.0,black,black,22700,19300,73130,8,midwest
121158,2007,bmw,3 Series,sedan,automatic,pa,3.7,92343.0,black,brown,8125,9600,73100,8,northeast
8661,2007,scion,tC,hatchback,automatic,ca,2.6,170439.0,white,black,3450,4000,77030,8,pacific
350334,2006,ford,Freestyle,wagon,automatic,ga,2.6,90698.0,red,tan,3725,3200,61450,9,southeast
126712,2012,nissan,Rogue,suv,automatic,pa,4.3,9332.0,black,black,18800,18200,73100,3,northeast
431669,2013,ford,Edge,suv,automatic,mo,4.1,40586.0,burgundy,brown,21100,20500,71660,1,midwest
250668,2013,chrysler,200,sedan,automatic,fl,4.6,54098.0,red,black,9575,10201,59100,2,southeast
189288,2011,lexus,ES 350,sedan,automatic,fl,2.6,38649.0,gray,beige,19200,17000,59100,3,southeast
51546,2014,toyota,Camry,sedan,automatic,ca,1.0,27050.0,green,black,16000,12400,77030,1,pacific
326301,2005,gmc,Envoy,suv,automatic,mi,3.5,108713.0,blue,tan,5175,6100,65610,10,midwest
3330,2006,ford,Focus,sedan,automatic,ca,2.6,173861.0,gray,gray,1300,1200,77030,8,pacific
468942,2007,dodge,Nitro,suv,manual,ms,1.9,92743.0,beige,tan,6250,5300,48460,8,southeast
64593,2013,hyundai,Santa Fe,suv,automatic,ca,2.7,27954.0,black,beige,18100,21100,77030,2,pacific
137593,2011,ford,Edge,suv,automatic,mn,4.2,52684.0,white,black,19100,19500,83200,4,midwest
38958,2007,ford,Explorer,suv,automatic,ca,3.4,125431.0,brown,beige,4750,6000,77030,8,pacific
418542,2012,nissan,Rogue,suv,automatic,il,4.0,46325.0,gray,black,13550,14300,73130,3,midwest
38940,2007,chevrolet,Silverado 1500 Classic,cab,automatic,ca,2.8,149678.0,white,gray,3350,3300,77030,8,pacific
304239,2008,chevrolet,Equinox,suv,automatic,oh,2.8,82436.0,gray,gray,8125,8200,64520,7,midwest
458444,2013,kia,Sorento,suv,automatic,la,2.3,53895.0,gray,gray,13950,12900,55590,2,southeast
416370,2014,hyundai,Elantra,sedan,automatic,il,4.0,16486.0,gray,gray,12400,12100,73130,1,midwest
4180,2000,infiniti,G20,sedan,automatic,ca,3.0,236263.0,white,tan,275,600,77030,14,pacific
238917,2014,chrysler,Town and Country,van,automatic,fl,4.3,46106.0,silver,black,17100,17000,59100,1,southeast
198890,2004,pontiac,Grand Prix,sedan,automatic,fl,1.0,129062.0,white,gray,2350,550,59100,11,southeast
152607,2011,mercedes-benz,M-Class,suv,automatic,wi,3.0,57310.0,white,gray,24100,23750,67090,4,midwest
172552,2007,bmw,Z4,convertible,automatic,tn,1.9,86899.0,gray,black,10550,8700,57290,8,southeast
241988,2013,toyota,Corolla,sedan,automatic,fl,3.1,51793.0,red,beige,10250,9300,59100,2,southeast
331576,2012,chevrolet,Cruze,sedan,automatic,mi,2.3,41591.0,white,gray,9275,7700,65610,3,midwest
388973,2002,nissan,Sentra,sedan,automatic,nc,1.9,179097.0,silver,gray,925,900,61490,13,southeast
129925,1998,subaru,Legacy,wagon,automatic,pa,1.0,179478.0,black,black,1175,700,73100,17,northeast
459440,2007,pontiac,G6,sedan,automatic,la,4.1,129032.0,silver,black,3575,3500,55590,8,southeast
34783,2013,chrysler,200,sedan,automatic,ca,4.4,38881.0,white,black,10650,11000,77030,2,pacific
395748,2004,mercedes-benz,C-Class,sedan,automatic,nc,2.9,179763.0,white,gray,2225,2600,61490,11,southeast
301170,2012,toyota,Highlander,suv,automatic,oh,2.3,64490.0,white,black,25500,24100,64520,2,midwest
360186,2013,kia,Sorento,suv,automatic,ga,4.2,46396.0,gray,gray,17950,20000,61450,2,southeast
455243,2014,ford,Fusion,sedan,automatic,ma,4.3,20942.0,blue,tan,13700,12300,82150,1,northeast
189839,2007,nissan,Pathfinder,suv,automatic,fl,2.6,120065.0,black,tan,6400,5200,59100,7,southeast
230302,2011,ford,Edge,suv,automatic,fl,3.6,89152.0,burgundy,gray,11200,10500,59100,4,southeast
22195,2013,honda,Civic,sedan,automatic,ca,1.0,15382.0,white,beige,13750,8000,77030,2,pacific
58916,2013,bmw,5 Series,sedan,automatic,ca,4.7,30615.0,black,tan,32900,31000,77030,2,pacific
378118,2013,toyota,Tacoma,cab,automatic,sc,3.6,46353.0,silver,gray,23500,23400,56120,2,southeast
358317,2012,dodge,Grand Caravan,van,automatic,ga,1.9,90534.0,gray,black,9850,8000,61450,3,southeast
66109,2010,cadillac,Escalade ESV,suv,automatic,ca,4.2,57739.0,black,black,33000,35000,77030,5,pacific
109256,2008,infiniti,M35,sedan,automatic,pa,2.6,168703.0,gray,gray,7475,7500,73100,7,northeast
278992,2011,subaru,Impreza,hatchback,automatic,nj,3.8,37472.0,blue,beige,12700,14000,82750,4,northeast
274722,2012,honda,CR-V,suv,automatic,nj,4.7,35643.0,blue,beige,18000,19000,82750,3,northeast
59807,2012,nissan,Sentra,sedan,automatic,ca,4.4,40094.0,white,black,9500,10750,77030,3,pacific
166516,2011,volkswagen,Jetta,sedan,automatic,tn,2.1,74214.0,silver,black,7450,7900,57290,4,southeast
29345,2012,mercedes-benz,C-Class,sedan,automatic,ca,3.9,27713.0,—,gray,21300,22000,77030,3,pacific
400039,2013,nissan,Altima,sedan,automatic,in,2.3,54381.0,gray,black,11050,9800,62930,2,midwest
186113,2011,nissan,Sentra,sedan,automatic,md,3.6,55764.0,silver,gray,7675,7600,89090,4,northeast
223090,2014,chrysler,Town and Country,van,automatic,fl,5.0,14850.0,beige,beige,22500,25000,59100,1,southeast
295854,2006,jeep,Commander,suv,automatic,nv,2.7,143948.0,black,beige,6875,3100,62960,9,mountain west
192536,2012,lexus,CT 200h,hatchback,automatic,fl,4.3,25545.0,white,black,20800,21000,59100,2,southeast
284154,2008,mazda,Mazda3,sedan,automatic,nj,1.9,82008.0,silver,black,6275,2650,82750,7,northeast
448429,2012,lincoln,Navigator,suv,automatic,ny,3.6,45480.0,silver,black,31200,31500,70210,3,northeast
229617,2012,infiniti,G Sedan,sedan,automatic,fl,2.4,15867.0,gray,black,18800,17200,59100,3,southeast
225225,2014,chevrolet,Impala,sedan,automatic,fl,4.0,11844.0,gray,gray,19500,19000,59100,1,southeast
95346,2013,scion,FR-S,coupe,manual,tx,3.5,28737.0,gray,black,17250,17700,68360,2,southwest
420652,2014,subaru,Legacy,sedan,automatic,il,4.1,27890.0,blue,black,18400,21400,73130,1,midwest
455105,2008,ford,Explorer,suv,automatic,ma,3.5,148693.0,black,tan,6450,5200,82150,7,northeast
85275,2013,ford,Explorer,suv,automatic,tx,4.6,25346.0,—,black,26300,26400,68360,2,southwest
208570,2012,nissan,Leaf,hatchback,automatic,fl,4.6,33508.0,white,gray,10200,10600,59100,3,southeast
113049,2014,lincoln,MKZ,sedan,automatic,pa,4.4,35237.0,black,brown,21600,22900,73100,1,northeast
17779,2010,audi,A4,sedan,automatic,ca,2.5,43469.0,white,black,15000,13250,77030,5,pacific
195093,2014,chevrolet,Malibu,sedan,automatic,fl,3.0,19134.0,silver,black,15200,15800,59100,1,southeast
453337,2005,nissan,Xterra,suv,automatic,ma,3.1,161623.0,silver,gray,4050,3900,82150,10,northeast
236920,2007,chrysler,PT Cruiser,wagon,automatic,fl,2.8,67727.0,blue,gray,3025,3500,59100,8,southeast
268950,2014,bmw,3 Series,sedan,automatic,nj,4.9,3496.0,—,black,33200,37250,82750,1,northeast
460752,2005,ford,Taurus,sedan,automatic,wa,3.6,62202.0,silver,gray,2675,4300,81400,10,pacific
17758,2011,subaru,Outback,wagon,automatic,ca,2.1,20344.0,gray,black,18600,15200,77030,4,pacific
441326,2011,toyota,Sequoia,suv,automatic,mo,1.9,73334.0,white,tan,34000,27000,71660,4,midwest
369960,2014,dodge,Grand Caravan,van,automatic,va,5.0,2019.0,gold,black,17800,17700,74430,1,southeast
319761,2009,ford,F-150,cab,automatic,oh,3.3,58594.0,black,beige,19750,21900,64520,6,midwest
106701,2012,bmw,5 Series,sedan,automatic,tx,2.4,62676.0,black,gray,22800,21700,68360,3,southwest
18052,2007,chevrolet,Impala,sedan,automatic,ca,1.9,105487.0,gray,gray,4600,4000,77030,8,pacific
331041,2015,chevrolet,Equinox,suv,automatic,mi,4.1,8136.0,blue,black,20200,19100,65610,0,midwest
32863,2005,mercedes-benz,C-Class,sedan,automatic,ca,3.3,213477.0,gray,black,2175,3300,77030,10,pacific
98469,2009,cadillac,CTS,sedan,automatic,tx,2.8,116599.0,red,tan,9675,9700,68360,6,southwest
8739,2005,chevrolet,Silverado 1500,cab,automatic,ca,1.9,169583.0,black,gray,4500,3650,77030,9,pacific
196019,2012,honda,Odyssey,van,automatic,fl,3.4,24909.0,purple,beige,28300,27000,59100,3,southeast
33285,2011,mercedes-benz,M-Class,suv,automatic,ca,3.6,22665.0,blue,black,27600,27750,77030,4,pacific
121214,2014,land rover,Range Rover Sport,suv,automatic,pa,4.8,21837.0,white,—,67000,67000,73100,1,northeast
236667,2014,ford,Fiesta,hatchback,automatic,fl,4.2,40585.0,silver,black,9925,10000,59100,1,southeast
301780,2013,chrysler,200,sedan,automatic,oh,1.9,12988.0,white,black,12150,8200,64520,2,midwest
212163,2009,mazda,CX-9,suv,automatic,fl,2.9,80162.0,silver,black,10200,10000,59100,6,southeast
350457,2000,bmw,3 Series,sedan,automatic,ga,1.9,121337.0,green,beige,1975,2000,61450,15,southeast
188348,2012,bmw,5 Series,sedan,automatic,fl,3.3,50813.0,white,black,37300,33400,59100,2,southeast
417619,2012,nissan,Sentra,sedan,automatic,il,2.9,42404.0,black,gray,9625,8800,73130,3,midwest
9747,2006,saturn,VUE,suv,automatic,ca,3.3,136152.0,silver,gray,3000,3800,77030,8,pacific
61904,2012,bmw,5 Series,sedan,manual,ca,3.3,51630.0,gray,black,24300,22000,77030,3,pacific
429997,2013,ford,F-150,cab,automatic,ut,3.5,21975.0,white,gray,25800,23500,80200,2,mountain west
393492,2010,chevrolet,Traverse,suv,automatic,nc,2.7,112199.0,black,gray,10750,9000,61490,5,southeast
168358,2012,toyota,Camry,sedan,automatic,tn,3.6,38685.0,black,black,16700,15900,57290,3,southeast
297517,2001,mercury,Sable,sedan,automatic,nv,2.7,119764.0,blue,gray,1025,500,62960,14,mountain west
234930,2008,saturn,Aura,sedan,automatic,fl,1.9,117798.0,gray,gray,4500,4100,59100,7,southeast
313661,2013,dodge,Grand Caravan,van,automatic,oh,3.9,62168.0,blue,black,12150,13100,64520,2,midwest
1710,2011,audi,S5,convertible,automatic,ca,2.6,35177.0,gray,black,31900,29750,77030,3,pacific
229436,2005,suzuki,Forenza,sedan,automatic,fl,1.0,122005.0,black,gray,1150,700,59100,10,southeast
56325,2010,kia,Rio,sedan,automatic,ca,2.6,100842.0,black,gray,4100,3300,77030,5,pacific
82350,2014,kia,Cadenza,sedan,automatic,tx,5.0,719.0,white,—,21300,22500,68360,1,southwest
247781,2013,infiniti,M,sedan,automatic,fl,5.0,4183.0,white,beige,33400,32000,59100,2,southeast
14459,2004,lexus,RX 330,suv,automatic,ca,2.9,198591.0,gold,beige,7100,13200,77030,11,pacific
183962,2010,dodge,Caliber,wagon,automatic,md,2.0,65677.0,silver,black,7600,3700,89090,5,northeast
222331,2009,land rover,Range Rover Sport,suv,automatic,fl,2.9,134814.0,black,brown,14700,19800,59100,6,southeast
115352,2012,honda,Pilot,suv,automatic,pa,4.1,30597.0,white,gray,24800,25700,73100,3,northeast
197438,2008,acura,TSX,sedan,automatic,fl,2.7,111851.0,black,black,8700,9100,59100,7,southeast
316356,2005,ford,Expedition,suv,automatic,oh,3.2,158789.0,white,beige,3850,5500,64520,10,midwest
322599,2014,ford,Flex,wagon,automatic,mi,5.0,15.0,red,black,22100,21700,65610,1,midwest
432470,2008,chrysler,Sebring,sedan,automatic,mo,2.8,115136.0,blue,gray,4450,5600,71660,7,midwest
394882,2002,buick,Regal,sedan,automatic,nc,2.0,72475.0,silver,gray,2850,2300,61490,13,southeast
144055,2011,mazda,Mazda3,hatchback,automatic,az,3.3,44245.0,gray,black,11250,13000,63250,4,southwest
110816,2011,mazda,CX-9,suv,automatic,pa,3.4,31670.0,black,black,17950,16400,73100,4,northeast
186618,2011,toyota,Camry Hybrid,sedan,automatic,fl,2.7,34894.0,gold,gray,15250,13350,59100,3,southeast
443772,2012,ford,Escape,suv,automatic,mo,4.9,22812.0,blue,—,17900,17400,71660,3,midwest
158147,2012,nissan,Altima,sedan,automatic,tn,3.8,30597.0,—,tan,12500,13800,57290,2,southeast
216607,2013,toyota,Sienna,van,automatic,fl,2.6,36437.0,black,beige,18800,19000,59100,2,southeast
464869,2012,ford,F-150,cab,automatic,wa,5.0,66451.0,white,tan,23000,21400,81400,3,pacific
294058,2012,mini,Cooper Coupe,hatchback,automatic,nv,3.8,22568.0,white,gray,15800,16750,62960,3,mountain west
117485,2002,chevrolet,TrailBlazer,suv,automatic,pa,2.4,70287.0,green,gray,3075,3200,73100,13,northeast
431434,2012,ford,Fusion,sedan,automatic,mo,3.8,35727.0,silver,black,12700,13000,71660,3,midwest
128428,2006,lexus,RX 330,suv,automatic,pa,4.0,68668.0,white,gray,12350,14900,73100,9,northeast
237403,2005,hummer,H2,suv,automatic,fl,3.6,123826.0,white,brown,16450,13200,59100,10,southeast
30564,2014,dodge,Grand Caravan,van,automatic,ca,2.0,13012.0,white,black,18350,6600,77030,1,pacific
27307,2012,mercedes-benz,CLS-Class,sedan,automatic,ca,4.9,49216.0,—,gray,41100,42750,77030,3,pacific
342265,2013,nissan,Versa,sedan,automatic,ga,3.7,28610.0,black,black,9100,8000,61450,2,southeast
423097,2007,chevrolet,Avalanche,cab,automatic,co,4.1,96038.0,black,black,15550,16200,80610,7,mountain west
320065,2015,mini,Cooper,hatchback,manual,oh,5.0,10996.0,—,black,24700,24750,64520,0,midwest
49186,2005,toyota,Highlander,suv,automatic,ca,2.6,109912.0,silver,gray,7300,6700,77030,10,pacific
68900,2011,nissan,Armada,suv,automatic,tx,2.9,38713.0,—,black,27400,26000,68360,3,southwest
449616,2012,lincoln,MKZ,sedan,automatic,ny,2.5,23122.0,gray,black,16750,15600,70210,3,northeast
297092,2013,hyundai,Sonata,sedan,automatic,nv,3.9,49600.0,white,beige,11250,11200,62960,2,mountain west
370450,2006,chevrolet,Cobalt,coupe,automatic,va,2.0,161436.0,red,black,2725,400,74430,9,southeast
50050,2012,ford,Mustang,coupe,manual,ca,2.9,44731.0,blue,gray,19950,20000,77030,3,pacific
38781,2011,chevrolet,Silverado 2500HD,cab,automatic,ca,4.8,67027.0,white,black,11650,22000,77030,4,pacific
227084,2012,dodge,Journey,suv,automatic,fl,3.6,41973.0,black,black,11400,12400,59100,3,southeast
287941,2014,ford,Mustang,convertible,automatic,nj,4.0,31214.0,white,black,17300,18900,82750,1,northeast
443829,2012,ford,F-150,cab,automatic,mo,4.2,36788.0,—,black,25600,26400,71660,3,midwest
165634,2010,infiniti,QX56,suv,automatic,tn,3.5,69011.0,black,tan,24400,25200,57290,5,southeast
408958,2014,chevrolet,Cruze,sedan,automatic,il,4.0,14063.0,red,gray,12600,12600,73130,1,midwest
55926,2009,nissan,Maxima,sedan,automatic,ca,2.9,97377.0,silver,black,11250,10750,77030,6,pacific
168356,2012,toyota,Camry,sedan,automatic,tn,4.2,32978.0,blue,gray,13300,13900,57290,3,southeast
202696,2012,lexus,ES 350,sedan,automatic,fl,4.5,14896.0,off-white,beige,23700,24900,59100,3,southeast
425213,2012,chevrolet,Malibu,sedan,automatic,co,3.9,55470.0,black,black,10050,8500,80610,3,mountain west
383585,1999,toyota,Corolla,sedan,automatic,nc,1.9,298961.0,silver,gray,650,800,61490,16,southeast
96000,2013,nissan,Frontier,cab,automatic,tx,4.4,39199.0,silver,gray,20300,20000,68360,2,southwest
323876,2014,dodge,Journey,suv,automatic,mi,4.0,24634.0,blue,black,16950,17500,65610,1,midwest
21429,2013,hyundai,Santa Fe,suv,automatic,ca,4.3,40473.0,orange,beige,18350,18400,77030,2,pacific
403267,2012,ford,Focus,sedan,automatic,il,4.5,31147.0,blue,gray,9775,10600,73130,3,midwest
194696,2012,lexus,RX 350,suv,automatic,fl,1.9,41840.0,gold,beige,27700,24600,59100,3,southeast
444641,2012,ford,Focus,sedan,automatic,mo,2.9,46804.0,silver,black,9900,9000,71660,3,midwest
421096,2014,nissan,Altima,sedan,automatic,il,3.6,25483.0,brown,black,18500,18500,73130,1,midwest
305662,2000,pontiac,Bonneville,sedan,automatic,oh,2.8,201228.0,gray,gray,875,1300,64520,15,midwest
384631,2005,kia,Sorento,suv,automatic,nc,2.3,141309.0,green,beige,3125,3200,61490,10,southeast
449235,2014,ford,Focus,hatchback,automatic,ny,4.8,30227.0,red,black,11350,12000,70210,1,northeast
204099,2008,dodge,Caliber,wagon,automatic,fl,3.6,114451.0,black,gray,3450,3500,59100,7,southeast
416228,2015,toyota,Camry,sedan,automatic,il,4.1,4792.0,blue,gray,19700,18900,73130,0,midwest
230996,2001,pontiac,Bonneville,sedan,automatic,fl,2.0,140791.0,gold,beige,1650,1600,59100,14,southeast
388876,2011,nissan,Sentra,sedan,automatic,nc,3.0,70828.0,black,beige,7375,7800,61490,4,southeast
363311,2013,nissan,Rogue,suv,automatic,ga,3.5,49357.0,white,black,13150,13000,61450,2,southeast
406851,2012,nissan,Altima,sedan,automatic,il,4.8,27516.0,white,beige,12400,14000,73130,3,midwest
260203,2013,chevrolet,Impala,sedan,automatic,fl,3.9,54740.0,white,gray,9200,10400,59100,2,southeast
36692,2012,toyota,Sienna,van,automatic,ca,4.6,46035.0,gray,gray,22100,24250,77030,3,pacific
343999,2012,chrysler,200,sedan,automatic,ga,2.7,62600.0,black,black,8650,8100,61450,3,southeast
454758,2006,honda,Civic,sedan,automatic,ma,2.9,139824.0,silver,gray,4625,4100,82150,9,northeast
